max_time_bin,begin_sig_period,end_sig_period
0.165,0.135,0.185
0.225,0.20500000000000002,0.245
0.315,0.28500000000000003,0.33499999999999996
0.215,0.195,0.235
0.33499999999999996,0.29500000000000004,0.33499999999999996
0.255,0.225,0.265
0.33499999999999996,0.125,0.41500000000000004
0.345,0.33499999999999996,0.385
0.375,0.255,0.41500000000000004
0.14500000000000002,0.135,0.175
0.315,0.29500000000000004,0.345
0.185,0.14500000000000002,0.185
0.225,0.215,0.41500000000000004
0.33499999999999996,0.265,0.41500000000000004
0.155,0.125,0.175
0.125,0.10500000000000001,0.14500000000000002
0.135,0.034999999999999996,0.245
0.28500000000000003,0.265,0.315
0.195,0.165,0.225
0.32499999999999996,0.245,0.41500000000000004
0.395,0.365,0.405
0.29500000000000004,0.225,0.315
0.215,0.185,0.225
0.30500000000000005,0.28500000000000003,0.345
0.395,0.29500000000000004,0.41500000000000004
0.235,0.195,0.255
0.395,0.355,0.405
0.265,0.255,0.29500000000000004
0.20500000000000002,0.185,0.235
0.375,0.345,0.385
0.395,0.345,0.41500000000000004
0.235,0.20500000000000002,0.28500000000000003
0.235,0.215,0.255
0.265,0.235,0.29500000000000004
0.125,0.125,0.165
0.29500000000000004,0.225,0.315
0.14500000000000002,0.125,0.165
0.275,0.235,0.29500000000000004
0.29500000000000004,0.265,0.315
0.235,0.225,0.315
0.235,0.215,0.255
0.20500000000000002,0.20500000000000002,0.245
0.395,0.365,0.405
0.215,0.195,0.235
0.255,0.20500000000000002,0.29500000000000004
0.375,0.33499999999999996,0.41500000000000004
0.32499999999999996,0.255,0.32499999999999996
0.225,0.175,0.225
0.30500000000000005,0.28500000000000003,0.32499999999999996
0.14500000000000002,0.115,0.165
0.10500000000000001,0.065,0.215
0.10500000000000001,0.055,0.135
0.225,0.155,0.245
0.10500000000000001,0.07500000000000001,0.115
0.275,0.255,0.29500000000000004
0.10500000000000001,0.07500000000000001,0.175
0.355,0.315,0.405
0.10500000000000001,0.08499999999999999,0.125
0.29500000000000004,0.225,0.315
0.175,0.115,0.265
0.10500000000000001,0.07500000000000001,0.125
0.20500000000000002,0.175,0.235
0.375,0.355,0.395
0.355,0.315,0.395
0.265,0.235,0.275
0.20500000000000002,0.185,0.255
0.30500000000000005,0.275,0.315
0.275,0.215,0.30500000000000005
0.115,0.10500000000000001,0.225
0.275,0.255,0.30500000000000005
0.255,0.225,0.265
0.395,0.345,0.41500000000000004
0.33499999999999996,0.32499999999999996,0.365
0.33499999999999996,0.30500000000000005,0.385
0.30500000000000005,0.235,0.32499999999999996
0.255,0.235,0.29500000000000004
0.225,0.165,0.255
0.29500000000000004,0.225,0.32499999999999996
0.255,0.215,0.30500000000000005
0.14500000000000002,0.10500000000000001,0.165
0.165,0.125,0.175
0.255,0.235,0.275
0.345,0.32499999999999996,0.365
0.065,0.034999999999999996,0.07500000000000001
0.385,0.225,0.41500000000000004
0.375,0.29500000000000004,0.41500000000000004
0.30500000000000005,0.28500000000000003,0.345
0.10500000000000001,0.08499999999999999,0.125
0.10500000000000001,0.08499999999999999,0.135
0.125,0.10500000000000001,0.14500000000000002
0.355,0.28500000000000003,0.395
0.215,0.185,0.245
0.125,0.10500000000000001,0.155
0.30500000000000005,0.265,0.365
0.405,0.375,0.41500000000000004
0.125,0.095,0.135
0.375,0.33499999999999996,0.41500000000000004
0.395,0.365,0.41500000000000004
0.255,0.185,0.29500000000000004
0.08499999999999999,0.07500000000000001,0.125
0.395,0.365,0.41500000000000004
0.385,0.355,0.41500000000000004
0.265,0.235,0.275
0.115,0.095,0.135
0.385,0.345,0.41500000000000004
0.125,0.10500000000000001,0.14500000000000002
0.375,0.33499999999999996,0.375
0.365,0.33499999999999996,0.395
0.125,0.095,0.155
0.14500000000000002,0.125,0.20500000000000002
0.225,0.185,0.235
0.175,0.165,0.20500000000000002
0.10500000000000001,0.095,0.135
0.33499999999999996,0.30500000000000005,0.355
0.245,0.235,0.29500000000000004
0.29500000000000004,0.275,0.315
0.115,0.095,0.14500000000000002
0.365,0.29500000000000004,0.405
0.10500000000000001,0.095,0.135
0.115,0.095,0.135
0.385,0.365,0.405
0.315,0.29500000000000004,0.33499999999999996
0.14500000000000002,0.135,0.225
0.14500000000000002,0.10500000000000001,0.235
0.125,0.10500000000000001,0.20500000000000002
0.14500000000000002,0.125,0.185
0.185,0.115,0.33499999999999996
0.195,0.135,0.20500000000000002
0.355,0.32499999999999996,0.385
0.14500000000000002,0.125,0.185
0.125,0.10500000000000001,0.195
0.125,0.10500000000000001,0.215
0.175,0.10500000000000001,0.225
0.345,0.275,0.375
0.315,0.275,0.355
0.405,0.30500000000000005,0.41500000000000004
0.355,0.28500000000000003,0.41500000000000004
0.225,0.165,0.235
0.14500000000000002,0.125,0.20500000000000002
0.135,0.10500000000000001,0.195
0.215,0.165,0.255
0.20500000000000002,0.125,0.215
0.165,0.10500000000000001,0.20500000000000002
0.10500000000000001,0.10500000000000001,0.195
0.195,0.175,0.215
0.375,0.355,0.41500000000000004
0.14500000000000002,0.115,0.155
