max_time_bin,begin_sig_period,end_sig_period
0.41500000000000004,0.365,0.41500000000000004
0.375,0.30500000000000005,0.41500000000000004
0.32499999999999996,0.28500000000000003,0.33499999999999996
0.245,0.195,0.30500000000000005
0.28500000000000003,0.155,0.33499999999999996
0.195,0.115,0.30500000000000005
0.255,0.135,0.28500000000000003
0.395,0.32499999999999996,0.41500000000000004
0.375,0.32499999999999996,0.385
0.225,0.175,0.235
0.235,0.20500000000000002,0.245
0.215,0.14500000000000002,0.265
0.375,0.30500000000000005,0.41500000000000004
0.345,0.33499999999999996,0.375
0.32499999999999996,0.315,0.385
0.345,0.235,0.365
0.315,0.29500000000000004,0.355
0.375,0.315,0.41500000000000004
0.365,0.30500000000000005,0.405
0.29500000000000004,0.265,0.30500000000000005
0.10500000000000001,0.07500000000000001,0.135
0.375,0.30500000000000005,0.41500000000000004
0.315,0.315,0.355
0.30500000000000005,0.245,0.315
0.155,0.115,0.165
0.28500000000000003,0.195,0.345
0.265,0.195,0.345
0.28500000000000003,0.175,0.33499999999999996
0.235,0.20500000000000002,0.275
0.28500000000000003,0.20500000000000002,0.32499999999999996
0.275,0.20500000000000002,0.315
0.225,0.165,0.375
0.28500000000000003,0.14500000000000002,0.345
0.255,0.195,0.33499999999999996
0.395,0.365,0.41500000000000004
0.29500000000000004,0.215,0.32499999999999996
0.30500000000000005,0.275,0.345
0.14500000000000002,0.125,0.165
0.365,0.345,0.41500000000000004
0.33499999999999996,0.29500000000000004,0.345
0.395,0.355,0.405
0.33499999999999996,0.315,0.405
0.30500000000000005,0.28500000000000003,0.32499999999999996
0.315,0.29500000000000004,0.33499999999999996
0.345,0.28500000000000003,0.365
0.315,0.29500000000000004,0.355
0.315,0.30500000000000005,0.41500000000000004
0.33499999999999996,0.275,0.375
0.32499999999999996,0.28500000000000003,0.365
0.385,0.315,0.41500000000000004
0.355,0.32499999999999996,0.395
0.055,0.034999999999999996,0.08499999999999999
0.255,0.034999999999999996,0.41500000000000004
0.315,0.034999999999999996,0.41500000000000004
0.155,0.034999999999999996,0.41500000000000004
0.375,0.32499999999999996,0.41500000000000004
0.185,0.14500000000000002,0.215
0.215,0.155,0.30500000000000005
0.195,0.175,0.28500000000000003
0.33499999999999996,0.245,0.355
0.30500000000000005,0.265,0.345
0.405,0.375,0.41500000000000004
0.155,0.115,0.175
0.28500000000000003,0.255,0.29500000000000004
0.115,0.055,0.155
0.14500000000000002,0.045000000000000005,0.33499999999999996
0.245,0.165,0.275
0.395,0.355,0.41500000000000004
0.395,0.355,0.395
0.33499999999999996,0.32499999999999996,0.365
0.165,0.115,0.355
0.375,0.345,0.385
