max_time_bin,begin_sig_period,end_sig_period
0.10500000000000001,0.034999999999999996,0.14500000000000002
0.45499999999999996,0.42500000000000004,0.46499999999999997
0.165,0.065,0.33499999999999996
0.255,0.034999999999999996,0.30500000000000005
0.45499999999999996,0.265,0.495
0.175,0.115,0.215
0.405,0.365,0.44499999999999995
0.7050000000000001,0.685,0.745
0.345,0.195,0.405
0.33499999999999996,0.32499999999999996,0.365
0.525,0.515,0.575
0.685,0.585,0.755
0.44499999999999995,0.42500000000000004,0.485
0.595,0.5549999999999999,0.605
0.165,0.115,0.275
0.895,0.875,0.915
0.655,0.625,0.775
0.5449999999999999,0.44499999999999995,0.585
0.625,0.525,0.6950000000000001
0.655,0.625,0.735
0.32499999999999996,0.225,0.575
0.505,0.215,0.5449999999999999
0.135,0.08499999999999999,0.20500000000000002
0.275,0.265,0.365
0.515,0.185,0.585
0.155,0.115,0.185
0.505,0.495,0.535
0.655,0.635,0.7949999999999999
0.255,0.155,0.33499999999999996
0.135,0.10500000000000001,0.155
0.135,0.115,0.155
0.155,0.135,0.215
0.235,0.20500000000000002,0.29500000000000004
0.32499999999999996,0.29500000000000004,0.355
0.125,0.115,0.165
0.20500000000000002,0.185,0.225
0.355,0.33499999999999996,0.395
0.165,0.07500000000000001,0.20500000000000002
0.595,0.565,0.615
0.28500000000000003,0.275,0.315
0.355,0.345,0.385
0.365,0.355,0.395
0.585,0.575,0.615
0.115,0.10500000000000001,0.14500000000000002
0.245,0.225,0.265
0.275,0.20500000000000002,0.33499999999999996
0.355,0.20500000000000002,0.585
0.345,0.315,0.365
0.32499999999999996,0.29500000000000004,0.345
0.345,0.135,0.635
0.215,0.165,0.255
0.405,0.385,0.45499999999999996
0.365,0.345,0.385
0.275,0.155,0.33499999999999996
0.45499999999999996,0.435,0.485
0.255,0.14500000000000002,0.28500000000000003
0.41500000000000004,0.385,0.44499999999999995
0.245,0.235,0.275
0.46499999999999997,0.435,0.5449999999999999
0.385,0.30500000000000005,0.44499999999999995
0.45499999999999996,0.32499999999999996,0.675
0.485,0.44499999999999995,0.495
0.275,0.235,0.315
0.345,0.115,0.395
0.855,0.845,0.895
0.585,0.5449999999999999,0.585
0.605,0.575,0.635
0.855,0.825,0.865
0.355,0.355,0.395
0.5449999999999999,0.525,0.565
0.275,0.245,0.29500000000000004
0.255,0.20500000000000002,0.41500000000000004
0.675,0.605,0.7050000000000001
0.32499999999999996,0.095,0.375
0.44499999999999995,0.42500000000000004,0.475
0.28500000000000003,0.225,0.315
0.14500000000000002,0.08499999999999999,0.32499999999999996
0.20500000000000002,0.07500000000000001,0.485
0.225,0.135,0.265
0.175,0.135,0.20500000000000002
0.275,0.095,0.765
0.225,0.155,0.30500000000000005
0.20500000000000002,0.08499999999999999,0.8049999999999999
0.645,0.585,0.735
0.32499999999999996,0.245,0.46499999999999997
0.225,0.135,0.265
0.32499999999999996,0.265,0.345
0.725,0.6950000000000001,0.745
0.32499999999999996,0.28500000000000003,0.355
0.225,0.175,0.275
0.215,0.14500000000000002,0.315
0.215,0.14500000000000002,0.275
0.225,0.185,0.275
0.195,0.175,0.235
0.32499999999999996,0.265,0.355
0.225,0.14500000000000002,0.375
0.245,0.185,0.28500000000000003
0.245,0.20500000000000002,0.28500000000000003
0.135,0.125,0.195
0.645,0.625,0.665
