pid,n_neurons,sig_neurons,perc_sig
0ffa052a-fe3f-46c2-999d-43bd56b7826e,19,9,47.4
edc82c06-83fd-44be-a41e-52fdeea728b4,89,35,39.3
310c60b6-d68f-4018-a86a-3668ce296837,90,40,44.4
7c94d733-b913-4064-83f2-37422712204c,208,115,55.3
