pid,n_neurons,sig_neurons,perc_sig
00c425fd-ec3e-4cd2-b8af-c0bc0c4bdd44,6,1,16.7
100433fa-2c59-4432-8295-aa27657fe3fb,0,0,
9e069684-a4be-4b70-b9e6-446309f977d4,9,1,11.1
aac3b928-e99a-4039-ace1-af45d0130d82,24,1,4.2
fe380793-8035-414e-b000-09bfe5ece92a,1,0,0.0
